iter	RMSE
0	4916.060032
1	4835.164543
2	4753.538543
3	4682.189545
4	4623.541587
5	4556.240598
6	4490.905872
7	4432.814722
8	4360.434323
9	4290.56186
10	4223.70129
11	4161.811728
12	4105.076789
13	4055.069403
14	4008.91807
15	3964.376474
16	3922.762361
17	3878.93864
18	3833.542383
19	3793.884075
20	3754.690099
21	3720.889817
22	3681.384074
23	3646.631417
24	3606.924706
25	3578.188022
26	3557.074649
27	3521.512086
28	3489.39568
29	3467.909862
30	3435.877452
31	3408.158554
32	3376.431428
33	3353.684156
34	3332.25708
35	3307.759373
36	3281.946663
37	3259.33885
38	3234.824025
39	3207.885776
40	3182.010291
41	3162.018904
42	3141.692801
43	3119.972503
44	3098.703843
45	3076.644345
46	3044.877934
47	3022.542677
48	3008.889098
49	2991.501802
50	2977.053954
51	2958.906563
52	2940.974056
53	2924.338049
54	2909.359449
55	2896.066298
56	2881.418905
57	2861.777221
58	2846.201216
59	2831.093281
60	2817.575939
61	2803.611127
62	2788.246603
63	2770.499117
64	2758.986193
65	2744.854571
66	2735.674361
67	2727.443924
68	2712.68553
69	2705.208153
70	2695.055942
71	2685.364189
72	2675.80402
73	2665.981928
74	2659.716837
75	2633.944281
76	2617.894171
77	2605.909307
78	2597.621194
79	2592.669469
80	2583.190376
81	2572.927978
82	2557.028611
83	2546.620377
84	2534.378798
85	2522.896153
86	2512.80564
87	2501.005865
88	2486.932375
89	2481.114069
90	2467.858668
91	2457.592383
92	2446.336461
93	2436.422516
94	2428.934447
95	2422.383978
96	2411.459996
97	2401.515797
98	2391.452884
99	2383.26173
100	2376.291236
101	2368.125126
102	2356.51927
103	2344.046569
104	2332.686713
105	2321.675912
106	2310.237673
107	2298.324253
108	2282.134133
109	2276.044028
110	2261.599023
111	2251.717198
112	2240.777007
113	2234.848888
114	2225.690855
115	2213.990231
116	2209.297846
117	2201.099757
118	2194.464273
119	2181.727526
120	2176.119867
121	2166.247522
122	2156.452715
123	2151.448967
124	2138.440581
125	2128.767287
126	2119.692634
127	2114.552539
128	2101.50249
129	2094.520643
130	2086.985903
131	2081.522031
132	2072.537887
133	2068.134234
134	2060.691725
135	2053.926706
136	2047.676544
137	2042.194573
138	2039.908925
139	2031.859584
140	2025.919551
141	2021.373971
142	2014.427074
143	2011.660836
144	1997.163177
145	1992.871121
146	1986.750563
147	1981.401676
148	1976.156129
149	1968.508375
150	1958.914914
151	1955.799956
152	1949.851138
153	1941.428916
154	1935.568572
155	1930.762647
156	1926.162024
157	1919.627833
158	1913.757661
159	1909.776597
160	1903.235556
161	1895.726737
162	1889.2772
163	1882.584128
164	1875.17059
165	1871.21792
166	1863.865873
167	1860.733284
168	1853.851444
169	1846.359455
170	1841.75757
171	1834.423306
172	1829.139046
173	1823.251948
174	1814.02105
175	1808.628925
176	1800.599045
177	1792.055832
178	1784.733332
179	1781.268518
180	1774.416647
181	1770.047022
182	1767.899185
183	1765.366223
184	1760.947307
185	1756.148895
186	1750.633095
187	1742.660421
188	1736.980838
189	1728.383685
190	1719.314609
191	1713.991595
192	1710.193151
193	1703.963003
194	1701.686582
195	1698.722394
196	1692.17989
197	1689.2432
198	1685.08618
199	1677.400835
200	1672.55746
201	1667.18681
202	1664.955449
203	1659.531589
204	1656.829344
205	1653.913693
206	1644.442618
207	1638.993914
208	1636.705051
209	1631.971875
210	1628.712273
211	1621.987651
212	1618.66851
213	1613.093108
214	1609.260709
215	1602.51901
216	1596.831166
217	1592.566992
218	1583.642044
219	1578.434625
220	1574.038618
221	1570.616933
222	1566.79135
223	1563.120466
224	1560.767901
225	1554.112353
226	1550.388222
227	1548.316811
228	1542.125872
229	1537.203269
230	1529.315201
231	1526.186461
232	1522.410499
233	1518.529858
234	1513.799854
235	1512.12632
236	1508.512799
237	1507.480619
238	1498.450297
239	1493.926577
240	1487.959528
241	1483.573786
242	1479.39997
243	1477.837291
244	1472.990435
245	1470.286862
246	1467.043113
247	1463.929941
248	1461.582251
249	1457.906064
250	1455.832853
251	1450.945992
252	1444.674509
253	1440.715715
254	1437.432438
255	1433.272509
256	1430.754644
257	1428.805407
