iter	Passed	Remaining
0	219	218808
1	246	122970
2	271	90221
3	291	72625
4	308	61306
5	324	53679
6	341	48506
7	360	44728
8	378	41678
9	396	39209
10	416	37437
11	434	35735
12	451	34298
13	469	33077
14	488	32085
15	505	31102
16	524	30331
17	544	29680
18	564	29166
19	584	28640
20	602	28090
21	621	27618
22	639	27169
23	657	26737
24	674	26307
25	690	25873
26	706	25462
27	721	25061
28	737	24692
29	752	24329
30	768	24016
31	783	23708
32	799	23437
33	817	23222
34	835	23028
35	851	22812
36	869	22631
37	887	22461
38	907	22355
39	940	22573
40	974	22795
41	1013	23121
42	1053	23448
43	1100	23902
44	1142	24241
45	1194	24762
46	1247	25299
47	1284	25476
48	1320	25619
49	1349	25643
50	1381	25703
51	1428	26042
52	1454	25986
53	1495	26196
54	1539	26448
55	1581	26657
56	1625	26896
57	1660	26974
58	1686	26899
59	1714	26861
60	1756	27033
61	1782	26971
62	1812	26952
63	1844	26979
64	1869	26888
65	1897	26855
66	1928	26851
67	1953	26780
68	1981	26737
69	2010	26712
70	2038	26670
71	2064	26608
72	2096	26626
73	2126	26604
74	2152	26545
75	2195	26696
76	2230	26733
77	2264	26772
78	2298	26799
79	2327	26770
80	2358	26753
81	2385	26709
82	2415	26687
83	2447	26694
84	2479	26690
85	2511	26688
86	2543	26696
87	2577	26709
88	2607	26694
89	2635	26644
90	2667	26641
91	2695	26602
92	2729	26618
93	2760	26611
94	2793	26611
95	2833	26679
96	2865	26673
97	2898	26673
98	2930	26669
99	2966	26697
100	2995	26660
101	3027	26655
102	3069	26728
103	3099	26701
104	3127	26660
105	3156	26619
106	3185	26583
107	3219	26590
108	3251	26574
109	3279	26533
110	3305	26471
111	3332	26423
112	3360	26378
113	3387	26330
114	3416	26294
115	3443	26243
116	3473	26213
117	3499	26159
118	3529	26129
119	3554	26069
120	3581	26015
121	3608	25972
122	3635	25924
123	3666	25899
124	3698	25888
125	3729	25868
126	3757	25830
127	3799	25882
128	3838	25915
129	3883	25987
130	3915	25974
131	3952	25989
132	3987	25995
133	4022	25995
134	4052	25967
135	4086	25958
136	4120	25954
137	4153	25944
138	4183	25912
139	4223	25944
140	4254	25916
141	4282	25878
142	4311	25841
143	4336	25779
144	4365	25742
145	4391	25686
146	4416	25625
147	4442	25575
148	4466	25512
149	4492	25456
150	4516	25395
151	4543	25348
152	4568	25291
153	4597	25256
154	4627	25224
155	4651	25166
156	4684	25152
157	4716	25134
158	4750	25127
159	4787	25136
160	4827	25155
161	4867	25178
162	4904	25183
163	4939	25177
164	4969	25149
165	5006	25152
166	5036	25120
167	5069	25107
168	5099	25076
169	5134	25068
170	5164	25037
171	5202	25045
172	5228	24993
173	5255	24950
174	5283	24907
175	5310	24863
176	5338	24822
177	5366	24781
178	5393	24736
179	5421	24697
180	5446	24646
181	5474	24605
182	5499	24553
183	5524	24501
184	5547	24439
185	5573	24392
186	5599	24346
187	5626	24300
188	5653	24258
189	5677	24205
190	5706	24169
191	5729	24112
192	5754	24062
193	5779	24010
194	5811	23992
195	5841	23962
196	5873	23939
197	5906	23925
198	5933	23881
199	5963	23852
200	5990	23811
201	6018	23777
202	6044	23730
203	6075	23704
204	6105	23675
205	6136	23653
206	6167	23627
207	6204	23626
208	6236	23603
209	6268	23581
210	6296	23545
211	6324	23508
212	6354	23478
213	6386	23455
214	6414	23418
215	6447	23403
216	6475	23364
217	6505	23336
218	6534	23301
219	6558	23251
220	6582	23203
221	6608	23158
222	6633	23113
223	6662	23081
224	6688	23037
225	6714	22995
226	6738	22945
227	6769	22922
228	6795	22879
